galaxyID,FOV,pixel,view,band,level,ncontour,cx,cy,a,b,theta,flag,lum_sum,b_a,b_a_std,lim,nrange
806,25,1250,projection_zx,band_g,238959.36575531535,1,-2.252597652553495,2.350021796364019,7.202993212897487,3.885354239732633,1.893230518817184,none,158289580.0,0.5412006594273244,0.0056209680377063,0.9,12
810,19,950,projection_xy,band_g,10118171.605283158,10,-1.4641056573971636,-0.8259745527680447,3.442630798520021,1.9196640885557985,1.3484181759527694,none,294499500.0,0.5592239257493282,0.0016084854351773,0.5,2
810,19,950,projection_xy,band_g,801657.5152433261,1,-2.484200763253345,0.9803290457896828,7.74047783864346,6.086899992809713,1.8944356465349887,none,704616060.0,0.7829960455425994,0.0019918420886267,0.9,12
810,19,950,projection_yz,band_g,22301303.145823404,4,0.0204014698239966,-0.7231308632347601,2.313273253245419,0.9844898772439452,3.122745434919022,none,185592350.0,0.4205874408625935,0.0042961248104774,0.5,5
810,19,950,projection_yz,band_g,987617.4268167365,1,1.0501765885086336,-0.6535526642311937,7.742441311742914,4.407950815872456,3.087316986415193,none,642434600.0,0.5712804808975435,0.0090453310438361,0.9,12
810,19,950,projection_zx,band_g,10589897.946617657,2,-0.612920321615303,-2.292725306275718,3.3719700821859395,1.631270833216104,1.5603696772990734,none,315297540.0,0.4850308303463957,0.0118114308612075,0.5,12
810,19,950,projection_zx,band_g,783041.5126784111,1,-0.61737011717262,-2.4333010143390994,7.204622651669882,4.850117599437099,1.4961756945855824,none,572507700.0,0.6727530241372693,0.0031639792939391,0.9,12
815,32,1600,projection_xy,band_g,5148223.47091269,5,2.409063921722325,-4.719769168525847,5.287718485986412,2.8631875760061174,2.1198709631786308,none,330750200.0,0.5187973277187913,0.0182778959648199,0.5,12
815,32,1600,projection_xy,band_g,308994.34096115787,1,3.0558261089782297,-4.441243235690686,11.59587192809894,7.896769312242668,2.4840196994915025,none,597546240.0,0.682733861647205,0.0060330666572381,0.9,12
815,32,1600,projection_yz,band_g,4379914.948030379,3,-4.991788625210864,-0.0488383375368245,4.863979210994963,2.891291885162953,0.0231771370399818,none,320891650.0,0.5881866166506943,0.0103787633402585,0.5,12
815,32,1600,projection_yz,band_g,315890.2184032954,1,-4.325641773957954,0.2609196553962724,9.8821992827666,8.430648788055736,2.9339371185576777,none,587597060.0,0.8564602080042113,0.0135442113519996,0.9,12
815,32,1600,projection_zx,band_g,4804670.113027918,2,0.0168980862829295,2.4051421931394046,4.129841362330581,2.938182376094548,1.378104142540884,none,322137340.0,0.7210206094309323,0.0143733571106869,0.5,12
815,32,1600,projection_zx,band_g,228314.9357614111,1,0.297388206835031,2.9073366385433146,11.369251931213135,8.475146706047363,1.1925898258654142,none,584156600.0,0.7479347699978359,0.0077985708677046,0.9,12
838,25,1250,projection_xy,band_g,3161152.100880301,2,1.5478618660901575,1.9611306044383463,2.9250669494252777,1.5805874330257346,0.7201101998722264,none,87454904.0,0.680261057901235,0.1657210183607407,0.5,12
838,25,1250,projection_xy,band_g,164783.61963834378,1,1.7765534674685146,1.6827042696887669,7.095130353974948,6.114665683431443,2.008629921699637,none,181715100.0,0.8577116184779627,0.0091208159987623,0.9,12
838,25,1250,projection_yz,band_g,3987028.5969498884,4,2.1235290173684973,1.1741726244006103,3.672478412739632,1.4399039045512194,0.6548854049475872,none,100686220.0,0.4019022558675676,0.0103270610394076,0.5,11
838,25,1250,projection_yz,band_g,160957.03256404685,1,1.8233502376239656,0.866644028982929,8.533519057400609,4.464610267626928,0.6928202418983354,none,181310200.0,0.5231909040448439,0.0023714033444112,0.9,12
838,25,1250,projection_zx,band_g,3634556.7415033747,2,1.2061470603050006,1.5465145370310989,2.7790567480476773,1.785506126156434,0.5534800074284709,none,93060510.0,0.7027748567183537,0.0783187890821044,0.5,12
838,25,1250,projection_zx,band_g,238959.36575531535,1,1.0043603634651614,1.776549289960946,6.620526715970296,5.333680920299942,0.8444941603868018,none,181475120.0,0.8042842701593461,0.0038846617769751,0.9,12
865,25,1250,projection_xy,band_g,801657.5152433261,2,-0.1145567521057055,0.1230915114650525,13.75404287994825,4.844645016514747,2.148174461387335,none,284114800.0,0.3472700860373056,0.0118338298941173,0.5,12
865,25,1250,projection_xy,band_g,164783.61963834378,2,1.2252596590136495,-1.3769195505367189,23.86478257240141,9.869765949839842,2.2242580300852617,none,475531260.0,0.4410678337454293,0.0507772372398798,0.9,12
865,25,1250,projection_yz,band_g,712801.2622828835,4,-0.1381978016276915,-0.4288095648118531,12.039665605027942,5.856408784925768,0.1058519537092228,none,294424130.0,0.487655756717974,0.0079432458006352,0.5,12
865,25,1250,projection_yz,band_g,124652.76523811786,11,-1.783621946487107,-3.4765650345993544,21.761406943177576,16.203875936846,2.565291260267209,none,522960600.0,0.7871474963522899,0.0580013218043373,0.9,12
865,25,1250,projection_zx,band_g,729747.3754992095,5,-0.4486870176852708,0.0695996323484408,9.847843290620483,6.417619892608283,1.5786902313601574,none,265453600.0,0.6489497840924089,0.0109366988402625,0.5,12
865,25,1250,projection_zx,band_g,116334.38583809049,13,-2.9999800867046367,1.2043945737106727,20.486435996175047,16.983689026941704,0.3403616316501909,none,481702720.0,0.8194330275691142,0.015453651938016,0.9,12
868,27,1350,projection_xy,band_g,2228543.0427249903,1,-0.5952156887953679,-0.8007041783959868,4.918129644801976,3.8307566573036578,2.641030753973852,none,235957620.0,0.785369087321394,0.0086614378974204,0.5,12
868,27,1350,projection_xy,band_g,189461.11940614547,1,-0.8177463735644339,-0.3660433760502073,11.389459250592717,9.692311792753564,2.3257643636514937,none,430476480.0,0.8509544807055814,0.0018662190044161,0.9,12
868,27,1350,projection_yz,band_g,2176792.061525998,1,-0.7895481831112616,-0.4160224817708858,5.021325393986739,3.968519128824123,1.423322433158529,none,252274780.0,0.790178663067545,0.0056659180985995,0.5,12
868,27,1350,projection_yz,band_g,207834.67003186364,1,-0.3627051611513243,-0.5122305914438198,11.53513415481116,9.611933723326809,1.0233246405895506,none,455509920.0,0.8333257457091445,0.0053207280503181,0.9,12
868,27,1350,projection_zx,band_g,2281524.3500090525,1,-0.2721962913442338,-0.666965339083221,4.785651965954933,4.041370017080303,2.7081641016132822,none,261192820.0,0.8478775468354471,0.0068340967588821,0.5,12
868,27,1350,projection_zx,band_g,238959.36575531535,1,-0.5722710339983379,-0.882145822121821,11.131684847822314,9.508275397376364,2.6399955060735705,none,475778020.0,0.8541233019858986,0.000328431317492,0.9,12
870,7,350,projection_xy,band_g,4373682.449739638,5,0.5136935330178952,-1.4053668532807302,4.058626312778036,2.0270554356965187,2.2906344042263926,none,162185890.0,0.499824120801799,0.0187391937788409,0.5,12
870,7,350,projection_xy,band_g,1135520.045259254,1,0.1650196223218231,-0.8062023855539807,6.276703866422605,4.135911162065509,2.196687766867349,none,293138850.0,0.6595108718407504,0.0079449267526773,0.9,12
870,7,350,projection_yz,band_g,5028671.992236453,15,-1.297040173782949,-0.1466203744676452,4.08775055634452,2.3316908164090453,2.010458602223663,none,215510580.0,0.5598728440774247,0.0261793786016132,0.5,12
