2024-11-11 11:03:59,262:INFO: Failed to extract font properties from /usr/share/fonts/google-noto-emoji/NotoColorEmoji.ttf: In FT2Font: Could not set the fontsize (invalid pixel size; error code 0x17)
2024-11-11 11:03:59,399:INFO: generated new fontManager
2024-11-11 13:21:29,186:INFO: Chi^2/DoF: 9438249308.446787, L: 1.8257887517146771
2024-11-11 13:21:34,119:INFO: Chi^2/DoF: 9392085953.403599, L: 2.2315195854290497
2024-11-11 13:21:38,766:INFO: Chi^2/DoF: 8223189489.978055, L: 0.02754962451146975
2024-11-11 13:21:44,981:INFO: Chi^2/DoF: 8089444350.643567, L: 4.074283358307359
2024-11-11 13:21:49,873:INFO: Chi^2/DoF: 7980673086.794662, L: 4.979679660153439
2024-11-11 13:21:54,822:INFO: Chi^2/DoF: 7892099157.588102, L: 6.086275140187537
2024-11-11 13:21:59,890:INFO: Chi^2/DoF: 7819900831.919144, L: 7.438780726895879
2024-11-11 13:22:05,263:INFO: Chi^2/DoF: 7761005379.555301, L: 9.091843110650519
2024-11-11 13:22:10,601:INFO: Chi^2/DoF: 7274690686.088489, L: 1.01020479007228
2024-11-11 13:22:16,016:INFO: Chi^2/DoF: 6890867390.933541, L: 1.2346947434216755
2024-11-11 13:22:21,412:INFO: Chi^2/DoF: 6583830291.175252, L: 1.5090713530709368
2024-11-11 13:22:26,565:INFO: Chi^2/DoF: 6336514270.736518, L: 1.8444205426422562
2024-11-11 13:22:32,016:INFO: Chi^2/DoF: 6136516750.255743, L: 2.254291774340535
2024-11-11 13:23:04,803:INFO: Chi^2/DoF: 10044504646.820179, L: 1.0
2024-11-11 13:23:09,693:INFO: Chi^2/DoF: 9563314017.80511, L: 0.1111111111111111
2024-11-11 13:23:15,199:INFO: Chi^2/DoF: 9494169799.79281, L: 1.493827160493827
2024-11-11 13:23:19,960:INFO: Chi^2/DoF: 9438249308.446787, L: 1.8257887517146771
2024-11-11 13:23:24,713:INFO: Chi^2/DoF: 9392085953.403599, L: 2.2315195854290497
2024-11-11 13:23:29,485:INFO: Chi^2/DoF: 8223189489.978055, L: 0.02754962451146975
2024-11-11 13:23:56,122:INFO: Chi^2/DoF: 42136208.1119053, L: 1.0
2024-11-11 13:24:00,844:INFO: Chi^2/DoF: 35078692.18019468, L: 0.1111111111111111
2024-11-11 13:24:06,584:INFO: Chi^2/DoF: 33453166.06700614, L: 0.13580246913580246
2024-11-11 13:24:13,226:INFO: Chi^2/DoF: 32558369.435261603, L: 0.0016765736930345982
2024-11-11 13:24:19,351:INFO: Chi^2/DoF: 32277948.366786476, L: 0.0020491456248200642
2024-11-11 13:24:25,617:INFO: Chi^2/DoF: 32193246.51040381, L: 0.00022768284720222937
2024-11-11 13:24:32,193:INFO: Chi^2/DoF: 30961239.927428573, L: 2.529809413358104e-05
2024-11-11 13:24:40,866:INFO: Chi^2/DoF: 30597822.312439594, L: 3.8558290098431705e-09
2024-11-11 13:24:46,571:INFO: Chi^2/DoF: 30383889.600191355, L: 1e-09
2024-11-11 13:24:52,438:INFO: Chi^2/DoF: 30189805.985358424, L: 1e-09
2024-11-11 13:24:58,488:INFO: Chi^2/DoF: 30002929.73879421, L: 1e-09
2024-11-11 13:25:04,084:INFO: Chi^2/DoF: 29821175.553411726, L: 1e-09
