galaxyID,host,ParticleSelection,A,B,C,Rmax,R50,RotationMatrix
271,host,YS,1.19651438276694,0.9493044340975376,0.3637622640177966,5.296848777582875,3.2561165155245275,"[[-0.26199215,-0.79191487, 0.55157134], [-0.94749736, 0.31964061, 0.0088679 ], [-0.18332722,-0.52028907,-0.83408058]]"
273,host,YS,1.949246517943205,1.788196269314222,0.5449900250041294,4.086915417916657,5.0536798960302045,"[[ 0.28025078,-0.95483886, 0.09870282], [-0.39648124,-0.0214964 , 0.91779112], [ 0.87422087, 0.29634549, 0.38460008]]"
275,host,YS,1.0024187395393231,0.6169978521928298,0.2556192381148411,5.7757990664874175,2.5780682298283124,"[[-0.56479389, 0.06641192, 0.82255536], [-0.11016562, 0.98176702,-0.15490983], [-0.81784558,-0.17810945,-0.54717971]]"
276,host,YS,1.201633304597726,0.6214203203195301,0.3261279702526635,5.527447883088517,3.342431753130401,"[[-0.19844821,-0.50015789,-0.84288813], [ 0.2766181 , 0.79644896,-0.53772806], [-0.94026631, 0.33986929, 0.01970115]]"
277,host,YS,1.350768367943631,0.6348528102605631,0.2964754644137938,6.511365447877223,4.192784369875148,"[[ 0.74843938, 0.53881926,-0.38666819], [-0.45675685,-0.00393191,-0.88958289], [ 0.48084474,-0.84241222,-0.24316659]]"
278,host,YS,2.7935599671918485,1.2181088827210966,0.6467910313480177,3.908810303690204,6.075160371655295,"[[-0.95132435,-0.07133559, 0.29982198], [ 0.27369913,-0.64275671, 0.71550863], [-0.14167136,-0.76274179,-0.6309946 ]]"
281,host,YS,1.8803435366056784,1.2183141298267604,0.4337441336408758,4.581967156478258,4.843407019168599,"[[-0.3451437 ,-0.93673718,-0.05830336], [-0.0968271 , 0.09732779,-0.99053108], [ 0.93354182,-0.33623022,-0.12429362]]"
283,host,YS,1.7683198988024718,1.489719584828327,0.6276464448168766,3.8473122822765,4.327008057849778,"[[-0.37605476, 0.21169987,-0.90208979], [ 0.86690411,-0.26339828,-0.42320044], [ 0.32720037, 0.94117188, 0.08447131]]"
285,host,YS,1.340448658058634,0.6202302896113633,0.3864311393612615,4.711583234186509,3.1778250524061,"[[ 0.09143916,-0.57808176, 0.81083929], [ 0.67145609, 0.63709556, 0.37849169], [-0.73538126, 0.50983402, 0.446412  ]]"
287,host,YS,1.6360932302151128,0.977366431920038,0.4449243220145257,4.128577539179261,3.62401784066744,"[[-0.47278413, 0.00786616,-0.88114317], [ 0.87283903, 0.14142646,-0.46706593], [ 0.12094294,-0.98991751,-0.07373008]]"
288,host,YS,1.630126834154369,0.723498799187136,0.5765790553806979,5.511284458564818,4.281452287939186,"[[ 0.97460054, 0.14486934, 0.17078252], [-0.09550076, 0.95862406,-0.26817815], [ 0.20256703,-0.24505671,-0.94811065]]"
289,host,YS,0.927335642806579,0.656223674527449,0.2377528332007941,7.888121628705923,3.276541893915737,"[[ 0.63154277, 0.77358475, 0.0521571 ], [-0.77533803, 0.62992256, 0.04526033], [-0.00215776, 0.06902322,-0.99761272]]"
290,host,YS,0.8867133458593006,0.5713691689031811,0.3460969207418864,6.735231439124129,2.01742951706985,"[[-0.65551709, 0.73922456, 0.1544163 ], [ 0.57186246, 0.35235641, 0.74082271], [ 0.49322477, 0.57392683,-0.65371042]]"
291,host,YS,0.783482461267722,0.3936467533438137,0.2309393710979712,8.32412741011907,3.236520974728214,"[[ 0.62756481,-0.60072763,-0.49526632], [-0.10091587, 0.56799788,-0.81681968], [ 0.77199637, 0.56258752, 0.29583253]]"
293,host,YS,1.4535809991548614,0.6058159820773389,0.5919815520565117,5.121590577169988,3.881786049977858,"[[ 0.56261504,-0.80891987,-0.17062517], [-0.32791857,-0.4078152 , 0.85214798], [-0.75890297,-0.42348011,-0.49470282]]"
294,host,YS,1.7916316591161872,1.0292602666442203,0.2998613533988901,4.527692267464197,3.842684577492992,"[[-0.03956592,-0.59662617, 0.80154335], [ 0.23383312,-0.78542585,-0.57308665], [-0.97147136,-0.16475268,-0.17058706]]"
295,host,YS,0.9520019376644152,0.5129235181694931,0.2839318149119097,5.169569771234837,2.389826503498513,"[[-0.96887382, 0.10684161,-0.22331232], [ 0.21515821,-0.08271462,-0.97307001], [-0.12243556,-0.99082953, 0.05715218]]"
297,host,YS,0.9135503258074296,0.5163347005564568,0.2845076944752541,7.003318470035275,2.3427276303537177,"[[-0.84475266,-0.53418235,-0.03228271], [-0.49912341, 0.76467733, 0.40760815], [-0.19305122, 0.36044112,-0.91258612]]"
298,host,YS,1.2780009012352418,1.0790838641452831,0.258826111436275,5.106849734441127,3.7384219998390376,"[[-0.72355657, 0.67700104, 0.13466801], [ 0.3335131 , 0.17206844, 0.92690963], [-0.60434667,-0.7155851 , 0.35028997]]"
299,host,YS,1.2455145328119852,0.7911333025018047,0.2904546828430216,5.717337932132234,3.596796396300028,"[[ 0.34236811,-0.82496847, 0.44967889], [-0.93738188,-0.2672974 , 0.22330988], [-0.06402561,-0.49797503,-0.8648246 ]]"
302,host,YS,1.3584689645861152,1.2053305654629731,0.4415192665337316,4.730392484489422,3.891458630834049,"[[ 0.86064116, 0.49116867,-0.13435077], [-0.42602518, 0.83905082, 0.33837297], [-0.27892532, 0.2339809 ,-0.93137189]]"
304,host,YS,0.9781806710315109,0.5054691560457548,0.2572840834423527,5.692710990590745,2.7037320715303066,"[[-0.63452003,-0.6887754 ,-0.35067473], [-0.69388588, 0.70749196,-0.13408028], [ 0.34045075, 0.15825162,-0.92684935]]"
306,host,YS,1.3702037400201157,0.6375991866323439,0.3375257288824737,5.587595980476169,3.785084345501368,"[[ 0.41584852,-0.25517156, 0.87290176], [ 0.85929163,-0.20406117,-0.46901699], [-0.29780515,-0.94511719,-0.13440825]]"
307,host,YS,0.4501665353975513,0.3095832272804246,0.2594707139842138,5.993475959421164,1.2844528474537305,"[[ 0.56020631, 0.68995853,-0.45839515], [-0.73769511, 0.66726207, 0.10279711], [ 0.37679544, 0.28056827, 0.88278346]]"
308,host,YS,1.869068194085823,1.2268977278995998,0.4585652903714272,4.313011556084195,4.536793776108769,"[[ 0.57110946, 0.48743415,-0.66048613], [-0.33590313,-0.59539428,-0.7298457 ], [ 0.74900138,-0.63868114, 0.17630465]]"
309,host,YS,1.5618421775229407,0.837821591077314,0.4816563235658599,4.862289457674704,4.395992093260301,"[[-0.31237014,-0.94987391, 0.01282405], [-0.63336769, 0.19818654,-0.74804242], [-0.70800443, 0.24178845, 0.663527  ]]"
310,host,YS,1.439076640252642,0.9042654724656608,0.6143384674049487,4.259186574311346,3.732697389633696,"[[ 0.68643638, 0.1503403 , 0.71147937], [ 0.36172334,-0.9193565 ,-0.15472511], [-0.63084176,-0.36356764, 0.68546134]]"
311,host,YS,1.014971532059625,0.561743648375724,0.4116944846545629,4.753839701796031,2.609142191013457,"[[-0.72954598,-0.67591644, 0.10440131], [ 0.53252952,-0.65717349,-0.53341851], [ 0.42915611,-0.33355655, 0.83938374]]"
312,host,YS,0.5699410409447327,0.4635473770876678,0.2579541459482432,5.881342341010631,1.5004349990474766,"[[-0.4726918 , 0.3391375 , 0.81335615], [ 0.34653358, 0.92015733,-0.18227719], [-0.81023265, 0.19569429,-0.55247335]]"
314,host,YS,1.4596288445325871,0.9366509182833652,0.4085630392841596,5.068473566123145,3.75961603329759,"[[-0.13616199,-0.93002905,-0.34132959], [ 0.87211379, 0.05092101,-0.48664626], [-0.469976  , 0.36394096,-0.80415765]]"
317,host,YS,1.6483067991468163,0.8634369715739022,0.4364084106888672,5.240928395489936,4.815783138030558,"[[ 0.59330765,-0.36925294, 0.71528896], [-0.65143932, 0.30174434, 0.69611577], [-0.47287719,-0.87897817,-0.06151866]]"
318,host,YS,1.1007692578208892,0.6886834196370408,0.2689359821032878,5.197569175093131,3.2409830893010363,"[[-0.84078051,-0.38355991, 0.38206011], [ 0.51099696,-0.79533911, 0.32606411], [ 0.17880222, 0.46937991, 0.86470357]]"
319,host,YS,1.3754127719122895,0.7452426902415838,0.3134585577428673,4.959520686095238,3.230377744656781,"[[ 0.18198909,-0.67335086,-0.7165742 ], [ 0.92641956, 0.36167719,-0.10457729], [ 0.32958576,-0.64481643, 0.68962671]]"
