galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie,Mstar_ahf_cat
495,8,400,projection_yz,mockmass,0.8866136993145171,0.6327730949470903,0.769385833800668,3.098023114656825,4.940423514283985,3615060000.0
495,8,400,projection_zx,mockmass,0.5619329024935648,1.9925398331497253,0.707516161146736,3.0581028978135643,5.142850938675758,3615060000.0
497,27,1350,projection_xy,mockmass,0.90514005100562,0.4073752869052566,0.5608324312968123,4.7441572229418005,4.05236219921718,943575000.0
497,27,1350,projection_yz,mockmass,0.889364893138157,0.6611514577576143,0.5374777087355307,4.999919794633552,4.014556901540626,943575000.0
497,27,1350,projection_zx,mockmass,0.428880016551187,2.2734304548737194,0.5806229034435045,5.96533188233289,4.164071499864142,943575000.0
499,24,1200,projection_xy,mockmass,0.7870193479233515,0.7039987730809912,0.886670752353754,3.803043693747812,4.597321542301972,2290730000.0
499,24,1200,projection_yz,mockmass,0.8196309383170662,2.2378810889198637,0.9082308254042772,3.838338669358721,4.574486316412703,2290730000.0
499,24,1200,projection_zx,mockmass,0.9709083762472728,0.7960532899354266,0.8885253983498435,3.4080785177504773,4.5984509246662455,2290730000.0
500,29,1450,projection_xy,mockmass,0.6366906753992745,1.5156344630022538,0.6506229231194586,5.783698682950687,4.0039352688681,975225000.0
500,29,1450,projection_yz,mockmass,0.7192537497723834,0.601085486476103,0.7600505547324377,4.668572491330735,4.119761362932413,975225000.0
500,29,1450,projection_zx,mockmass,0.4462583907234417,2.6064204741149006,0.6704953706344445,6.544660897485617,4.045273050601419,975225000.0
501,33,1650,projection_xy,mockmass,0.5769513308102197,2.8962058735401044,0.8278483421032694,4.949473252007158,4.609166231796595,2970980000.0
501,33,1650,projection_yz,mockmass,0.9032971179156732,2.5662451108583824,0.669474527122038,5.084753124133832,4.432472976454024,2970980000.0
501,33,1650,projection_zx,mockmass,0.5778471246533213,1.7384286360346612,0.7588460499867673,4.989525781836598,4.61495022461485,2970980000.0
512,25,1250,projection_xy,mockmass,0.4992839145349405,0.1226841930857401,0.945695228893292,4.505760827173291,4.428082858948489,1397870000.0
512,25,1250,projection_yz,mockmass,0.7497148506410299,1.2067029662634368,0.9404664411264568,4.6387133170430905,4.229771185128247,1397870000.0
512,25,1250,projection_zx,mockmass,0.6337557798344627,1.6896033852503525,0.7755464255276533,3.4345744003618006,4.575235014718831,1397870000.0
517,27,1350,projection_xy,mockmass,0.6059567578801405,1.8283626287415693,0.9031740896907844,4.294442075883002,3.992459932489869,546494000.0
517,27,1350,projection_yz,mockmass,0.38565719372643,2.9133486706965037,0.7426726109203865,6.035266539966313,3.930088779939465,546494000.0
517,27,1350,projection_zx,mockmass,0.6718217697368386,1.4801748530651415,0.8412521193790994,6.099804006694289,3.659740467448036,546494000.0
534,28,1400,projection_xy,mockmass,0.7106287888932868,1.7652886728231392,0.7993825928597204,5.092207569427521,4.323018804345917,1942810000.0
534,28,1400,projection_yz,mockmass,0.7793161036049784,2.054010967714596,0.7843180401145875,3.8378789156306334,4.51431798644469,1942810000.0
534,28,1400,projection_zx,mockmass,0.6364924250497246,3.105369031791964,0.7555319021287177,5.015517200377558,4.398054240416402,1942810000.0
557,24,1200,projection_xy,mockmass,0.8106578095233696,1.0157552801599063,0.7621356114268415,4.466229611976458,4.040500336781488,821493000.0
557,24,1200,projection_yz,mockmass,0.573399432282026,1.199984255337122,0.7554535114673845,4.023676010535231,4.282357901677424,821493000.0
557,24,1200,projection_zx,mockmass,0.5615130842287657,2.87869863683738,0.7075422898482078,4.244725928074774,4.251042272423559,821493000.0
562,23,1150,projection_xy,mockmass,0.5849914520729416,0.8165297351295089,1.0666391654241,3.3119591747033787,4.884920382894413,2793730000.0
562,23,1150,projection_yz,mockmass,0.7582628796230374,0.4974682349053086,0.986026376272061,3.23938126396706,4.811176969759205,2793730000.0
562,23,1150,projection_zx,mockmass,0.7880214281130906,1.0474872212285398,1.0142451264597383,3.239254948124024,4.788378674226752,2793730000.0
564,23,1150,projection_xy,mockmass,0.4094364887078711,2.981948505009984,0.8642482879804284,5.371192847088898,3.721913340022101,298427000.0
564,23,1150,projection_yz,mockmass,0.6366882732715541,1.7156101653596132,0.8353173907645226,5.249678066308404,3.543116596638813,298427000.0
564,23,1150,projection_zx,mockmass,0.5855928938207945,1.8638363010912145,0.8023651233017538,3.4935434759909048,3.928548970832422,298427000.0
565,24,1200,projection_xy,mockmass,0.471994512105502,1.4093793571895348,0.9537805496401708,3.9975725325395057,4.520577936716081,1322490000.0
565,24,1200,projection_yz,mockmass,0.5891639956642858,3.116714023764657,0.9907374939955518,3.356533075300609,4.560518907222976,1322490000.0
565,24,1200,projection_zx,mockmass,0.8048670853550156,2.780584522650627,0.8403858795964184,3.892454232437741,4.32729120713081,1322490000.0
570,33,1650,projection_xy,mockmass,0.8615082755630853,2.8655394781443086,1.0910660032632244,5.60002645235797,4.191268305397654,2245340000.0
570,33,1650,projection_yz,mockmass,0.8289620379687892,1.6140282468974931,1.028051482998764,5.409459117162912,4.245496955072802,2245340000.0
570,33,1650,projection_zx,mockmass,0.7444091995080944,2.461990124968112,1.036268068473548,5.238457904659362,4.313900526872163,2245340000.0
575,26,1300,projection_xy,mockmass,0.9355992689304986,1.2607347719684157,1.0091737787438009,3.429765060339771,4.593563728405953,2593680000.0
575,26,1300,projection_yz,mockmass,0.8312759970961748,1.526904251761389,1.0719754306508136,3.2791396909041737,4.669234441519624,2593680000.0
