galaxyID,FOV,pixel,view,band,b_a,b_a_e,PA,PA_e,n,n_e,Re,Re_e,Ie,Ie_e,Mstar_ahf_cat
1167,18,900,projection_yz,band_u,0.575215180595407,3.924567570344593e-09,0.2451696436572534,5.8648117731049605e-09,1.6665967402339854,1.4311395058447672e-08,3.2081202467800645,3.2007483692948755e-08,6.037630619614204,6.663784649559268e-09,61936700.0
1167,18,900,projection_zx,band_r,0.5858386592107652,7.681279688926663e-09,1.0136137812295112,1.1694962957789461e-08,0.9126755271274588,1.7543487737320317e-08,3.476626304100311,4.4917830168204356e-08,5.833781434557778,8.593308304000477e-09,61936700.0
1167,18,900,projection_zx,band_u,0.6724667857086201,5.4021232078316846e-09,0.8746557654544557,9.862703792626592e-09,2.050580598823017,2.0036014282303104e-08,3.880973306552437,5.371942278269366e-08,5.788133286694615,9.212794388943845e-09,61936700.0
1172,20,1000,projection_xy,band_r,0.8561418017400259,1.3535378080318045e-08,1.7333709377230886,5.069026569022944e-08,0.8447651444305568,2.0084508327147427e-08,3.359350098039639,5.0218304007357055e-08,5.6947483370898,9.915494484193325e-09,77452400.0
1172,20,1000,projection_xy,band_u,0.6622852691032475,7.139408140616628e-09,1.5235975905428198,1.2717148940800525e-08,1.3812846916508184,1.9471774407495465e-08,3.546945573625944,4.8778472500232e-08,5.810658994018868,9.196525786696688e-09,77452400.0
1172,20,1000,projection_yz,band_r,0.615702694143366,7.53263645154523e-09,1.882870934601413,1.213129882961324e-08,1.2320508685733842,2.026909618021381e-08,3.1706165631428327,4.5804423856978276e-08,5.84407123524514,9.66006488976954e-09,77452400.0
1172,20,1000,projection_yz,band_u,0.7164446672097377,5.619465239962569e-09,1.8707069774045144,1.1545845881186037e-08,1.532189296101032,1.5368677351938053e-08,2.572120594636775,2.769800090731132e-08,6.047032489009818,7.198925280108382e-09,77452400.0
1172,20,1000,projection_zx,band_r,0.5560474464772429,7.487439591851292e-09,0.1244643772779138,1.0838334769466413e-08,1.092675135980774,2.043288865129497e-08,3.5566524356443128,5.2402213010034746e-08,5.796506463971945,9.840047003498272e-09,77452400.0
1172,20,1000,projection_zx,band_u,0.531312867439068,4.622196145974318e-09,0.0847663432779141,6.4400566235617335e-09,1.1480525356475986,1.3684040070192952e-08,3.189002059729704,3.130496981129897e-08,6.034894193176639,6.5605763108257765e-09,77452400.0
1193,38,1900,projection_xy,band_r,0.7935747532368562,5.433152191718661e-09,0.9312736838012736,1.4674711587318332e-08,0.8218568699496518,8.541042157637218e-09,6.4322689115376335,4.105575582518568e-08,5.795765475308977,4.228850908423074e-09,407025000.0
1193,38,1900,projection_xy,band_u,0.7965918372858256,4.973572175217717e-09,0.9317275618378404,1.3609764941860685e-08,0.8493424794632982,7.959394467153919e-09,6.508659768889984,3.853218805511813e-08,5.826010920862871,3.9275247921057096e-09,407025000.0
1193,38,1900,projection_yz,band_r,0.8382767539152961,5.432693299846225e-09,0.8795831352158296,1.827392516222886e-08,0.7507543993066237,7.62752248152624e-09,5.952242114918724,3.4400332049604576e-08,5.850915078017994,3.812916006629312e-09,407025000.0
1193,38,1900,projection_yz,band_u,0.8425542071192172,4.983193963739746e-09,0.8708581700591608,1.7177361579394496e-08,0.7640414551595924,7.038873987657371e-09,6.011255300742805,3.197139760661304e-08,5.883510684760623,3.5120267032988766e-09,407025000.0
