galaxyID,FOV,pixel,view,band,b_a,b_a_e,PA,PA_e,n,n_e,Re,Re_e,Ie,Ie_e,Mstar_ahf_cat,flag
332,22,1100,projection_xy,band_r,0.6371441863752558,9.370189681354291e-10,0.1953586468849919,1.5773468046633243e-09,0.4875836702528237,1.347755464060581e-09,6.1455710058170645,6.8150335067823525e-09,6.566881181681609,7.080853047941545e-10,4341680000.0,none
332,22,1100,projection_xy,band_u,0.6537645026264501,1.5872705404934544e-09,0.1691334128048015,2.772077964548225e-09,0.3875285163323362,1.9855173800895124e-09,7.042026179898485,1.2143383116651872e-08,6.286216055261981,1.0741159998167524e-09,4341680000.0,none
332,22,1100,projection_yz,band_r,0.9362531376173744,1.3029255847114695e-09,0.6966027977703101,1.0555985883989042e-08,0.5521806850670566,1.3641557741510034e-09,5.662146119009699,6.1895184349173854e-09,6.5384724174864175,7.061026069218562e-10,4341680000.0,none
332,22,1100,projection_yz,band_u,0.9316291115894936,2.102875939216646e-09,0.7726583626367977,1.592278911418811e-08,0.4694701154283541,2.028232636320419e-09,6.5066142253547925,1.0950512611820196e-08,6.274378286587711,1.0705360949708803e-09,4341680000.0,none
332,22,1100,projection_zx,band_r,0.6408507537111092,9.122924836800511e-10,1.7385780054064055,1.548067968373972e-09,0.4807291239493088,1.2949641037351588e-09,6.063729528313029,6.4812035386168895e-09,6.585922401708767,6.815245221207997e-10,4341680000.0,none
332,22,1100,projection_zx,band_u,0.6531440114921958,1.5491173797469862e-09,1.757519204766931,2.7016203869900555e-09,0.4113868149608639,1.995350210670676e-09,6.931548445655239,1.1836790026468361e-08,6.303755447287277,1.0708779959943631e-09,4341680000.0,none
333,27,1350,projection_xy,band_r,0.8357831822229537,7.948208257569087e-10,1.9438073654632573,2.636514832320749e-09,0.4167314725086529,8.050594090550057e-10,7.0182334408499525,4.820445246953432e-09,6.641711652301365,4.3134126104921637e-10,7562770000.0,none
333,27,1350,projection_xy,band_u,0.767690674887377,1.2783926202786427e-09,2.067484433571439,3.113087600071816e-09,0.3963396746042879,1.3762684589102754e-09,8.610331653750531,1.023449919054994e-08,6.327943195980858,7.422692942809737e-10,7562770000.0,none
333,27,1350,projection_yz,band_r,0.930108149513557,9.5180904049867e-10,2.236620981306173,7.0557249387158085e-09,0.4495408047448158,8.993968996520512e-10,6.545765623218272,4.933769213410322e-09,6.616384870351856,4.772743514458384e-10,7562770000.0,none
333,27,1350,projection_yz,band_u,0.973921173480612,1.728051422465379e-09,0.2591374552261125,3.3569031017201017e-08,0.4334522386006271,1.5312912845401583e-09,7.642301333496277,9.8910779591675e-09,6.300475779190023,8.163269845970543e-10,7562770000.0,none
333,27,1350,projection_zx,band_r,0.603011920797061,6.528081179415884e-10,2.5409800372569835,1.0258203832756287e-09,0.5316958680542262,1.039313373174357e-09,8.551002613289436,7.177346722343674e-09,6.56563485328826,5.403746006619575e-10,7562770000.0,none
333,27,1350,projection_zx,band_u,0.6389300893727377,1.1664684361660794e-09,2.520434785520973,1.971178800608442e-09,0.5150361071280816,1.7233965054860791e-09,9.866302509302804,1.3822734035269094e-08,6.26515858625782,8.994233824454177e-10,7562770000.0,none
338,21,1050,projection_xy,band_r,0.8985861607543116,1.2381679515842048e-09,0.5274121523219957,6.430607809176072e-09,0.466592244632813,1.2342065598049316e-09,3.775488142626357,3.8719448930056805e-09,6.733070003073248,6.519297339192202e-10,2517890000.0,none
338,21,1050,projection_xy,band_u,0.9628625883243356,5.87757740327874e-10,1.6333919597934905,8.062968749121271e-09,0.4799593901044454,5.620951685771301e-10,0.1877997008674266,8.597168944104839e-11,8.377878295404972,2.9337961081586767e-10,2517890000.0,fit
338,21,1050,projection_yz,band_r,0.8296336586037015,1.1691999997571256e-09,2.3418558025394898,3.750946487884295e-09,0.4840837283088058,1.2866505486258535e-09,4.035852152681368,4.279404650243032e-09,6.710871378236899,6.765753927574579e-10,2517890000.0,none
338,21,1050,projection_yz,band_u,0.7757466119225113,1.3673309061707491e-09,2.9365814465324087,3.3729927914093782e-09,7.99999999339242,2.2138178534751828e-08,61.04370687045712,8.658293582204898e-07,4.347388181522101,9.27205337059229e-09,2517890000.0,fit
338,21,1050,projection_zx,band_r,0.6070901442436526,9.367480594409876e-10,0.8166264257282372,1.4835071194828076e-09,0.7263848047041905,1.7788143205853622e-09,4.687895980305309,6.352033596941271e-09,6.65105386935378,8.923765622871793e-10,2517890000.0,none
338,21,1050,projection_zx,band_u,0.8751891368972683,5.260354124267968e-10,0.168166384140331,2.247719766694284e-09,0.5158078355603349,5.746737778385573e-10,0.206808359445531,9.530601497759975e-11,8.361084805789227,2.974133914304726e-10,2517890000.0,fit
340,37,1850,projection_xy,band_r,0.7716556939934017,3.969354278318356e-10,2.4443613952583854,9.811837614001015e-10,0.5469459844368227,5.015720582591213e-10,5.7775945064624254,2.326700549093861e-09,7.004345328282515,2.599119913889989e-10,3872240000.0,none
340,37,1850,projection_xy,band_u,0.7592137422728247,3.1282481918732775e-10,2.3675614931597018,7.385006744780236e-10,0.4973275793629248,3.8156722533436574e-10,5.289339836923289,1.6534164437983531e-09,7.146017067022486,1.9998795507782983e-10,3872240000.0,none
340,37,1850,projection_yz,band_r,0.648911399597451,3.3063990376777086e-10,1.27857987275803,5.711382111229225e-10,0.5196414005879256,4.83079627223376e-10,5.619878488704317,2.2031913505403662e-09,7.0601409020782,2.518594311226554e-10,3872240000.0,none
340,37,1850,projection_yz,band_u,0.6709925842535769,3.0125286392511417e-10,1.150798596916342,5.479626721313303e-10,0.3887274887684303,3.6768986759454295e-10,5.202336843675616,1.6600255882345483e-09,7.145112180313944,1.988277445453404e-10,3872240000.0,none
340,37,1850,projection_zx,band_r,0.542939003342486,2.97839888571139e-10,0.4843652953848988,4.2233778791484765e-10,0.557614428314337,5.40681931870907e-10,5.963171498146531,2.5784954080169703e-09,7.038140589456495,2.795401546356841e-10,3872240000.0,none
340,37,1850,projection_zx,band_u,0.5397617704585878,2.835003542643097e-10,0.5029798907696897,4.000528630799636e-10,0.3985265120613646,4.3521693899355424e-10,5.868331722070857,2.20280055795166e-09,7.07209951565636,2.3455521475743016e-10,3872240000.0,none
348,21,1050,projection_xy,band_r,0.97618107437708,8.204455891619367e-10,1.4982537894942825,1.7429736313491526e-08,0.6187054578169006,8.793639245401597e-10,5.76083576658833,3.969484788755994e-09,6.734711618183031,4.4916964014518944e-10,5728640000.0,none
348,21,1050,projection_xy,band_u,0.9588270414373792,1.1702956609447855e-09,1.326871392304558,1.4509199810451702e-08,0.5960164744328998,1.2509330980989699e-09,6.577451302354732,6.4906055602199836e-09,6.521340311107612,6.41685566165764e-10,5728640000.0,none
348,21,1050,projection_yz,band_r,0.564768971924522,5.276032476422067e-10,1.3816916053498982,7.746848813787925e-10,0.5332356382959709,8.984469806480196e-10,6.627867289802786,4.806027872407372e-09,6.754429095500666,4.669622094864828e-10,5728640000.0,none
348,21,1050,projection_yz,band_u,0.5894585757137764,8.337367870447876e-10,1.419959194464758,1.2775734814292487e-09,0.450799561748614,1.245487681265971e-09,7.441823863389114,7.761471647823408e-09,6.519156065924034,6.606421173437944e-10,5728640000.0,none
348,21,1050,projection_zx,band_r,0.550111061572386,5.19548519130432e-10,0.167233742147538,7.446672587678419e-10,0.7088900008119032,1.075675062188556e-09,6.851213481070244,5.6387157111011315e-09,6.723321935007225,5.411442426701489e-10,5728640000.0,none
348,21,1050,projection_zx,band_u,0.5787476328939759,8.401648606703313e-10,0.2445632080175709,1.2596479329263148e-09,1.2194294516206907,2.4543906832072675e-09,8.221373196542398,1.4603445310536542e-08,6.374396909448913,1.1780680203917235e-09,5728640000.0,none
349,22,1100,projection_xy,band_r,0.6451240557649042,5.420771834124015e-10,0.3667862769978484,9.285085347108023e-10,0.633553209528802,8.913310467372035e-10,4.869309234190989,3.386122241968781e-09,6.896198828749271,4.540540099486068e-10,2691410000.0,none
349,22,1100,projection_xy,band_u,0.5954073584491156,4.756610253370891e-10,0.3735392650856322,7.368990506811104e-10,0.3600000027600019,6.31681562195043e-10,5.141047040019498,2.873859990033723e-09,6.924789721162485,3.4531301198372127e-10,2691410000.0,fit
349,22,1100,projection_yz,band_r,0.6941511874877765,5.859491340049455e-10,0.9769822836315444,1.1308400114676356e-09,0.8313705669169988,1.0611059667622595e-09,4.992141605919951,3.951874153311507e-09,6.8426496645060615,5.24737338984963e-10,2691410000.0,none
349,22,1100,projection_yz,band_u,0.6446340904733786,5.176515623465541e-10,1.0872196059974977,8.857118956968787e-10,0.4527712092135992,7.083220332172408e-10,5.172843689714284,3.0655596253296672e-09,6.903422188987663,3.7554328738116226e-10,2691410000.0,none
349,22,1100,projection_zx,band_r,0.449274114272234,3.783257743887569e-10,0.9182443642528352,4.740016741373605e-10,0.6474427167158643,9.04879005252562e-10,5.221847829745957,3.6717000681871085e-09,6.941958944749599,4.5980437543153806e-10,2691410000.0,none
349,22,1100,projection_zx,band_u,0.3423781494398902,3.103664358732554e-10,0.8971669306017905,3.5157914013899636e-10,0.7047938957462798,1.025695199844399e-09,5.840304303148754,4.5858083891679415e-09,6.913649246358048,5.162407094945963e-10,2691410000.0,none
352,25,1250,projection_xy,band_r,0.5518421503214364,6.016411765497612e-10,2.385051858042764,8.650854356811861e-10,0.3994271037660834,9.043604054532263e-10,7.1279663405397375,5.556746794324464e-09,6.665683004037463,4.872482102576295e-10,5998530000.0,none
352,25,1250,projection_xy,band_u,0.5493701882923618,1.003705673388053e-09,2.376133423123505,1.4375774912895958e-09,0.3600766257190139,1.444765974998736e-09,8.244013759517753,1.0539695690331232e-08,6.377923630632516,7.897662564095337e-10,5998530000.0,fit
352,25,1250,projection_yz,band_r,0.7313426621988104,7.342720972497996e-10,0.6377032034658868,1.5786115918683554e-09,0.4152844305819613,8.485089340521196e-10,6.597774230452567,4.780234362357305e-09,6.673971307637488,4.5482584370069584e-10,5998530000.0,none
352,25,1250,projection_yz,band_u,0.7665256877519314,1.2708364589048675e-09,0.696448095083753,3.081276019333156e-09,0.3959072330658073,1.3695043140239723e-09,7.2931223283922195,8.628556668570108e-09,6.402287322401532,7.387296043722481e-10,5998530000.0,none
352,25,1250,projection_zx,band_r,0.7130444461964797,7.281960980443054e-10,0.9751938499836754,1.4813752407154639e-09,0.4495377685194259,8.975636943328146e-10,6.622297809621416,4.9812880457731775e-09,6.669929754740036,4.763019430184734e-10,5998530000.0,none
352,25,1250,projection_zx,band_u,0.7664221115920989,1.4813628961893382e-09,0.7773863948037513,3.6475953151455747e-09,7.999999998656193,2.4891934649258636e-08,195.96093545582576,3.408578072597928e-06,3.792694667428371,1.1076214979956908e-08,5998530000.0,fit
359,25,1250,projection_xy,band_r,0.5218494458826304,6.88185578290461e-10,0.7287676284052097,9.457344632007851e-10,0.5055099655253708,1.2318773323673196e-09,7.426498448776289,7.46831686803222e-09,6.574333017605627,6.443839633165554e-10,5589870000.0,none
359,25,1250,projection_xy,band_u,0.5582176409970773,1.304739896033904e-09,0.725300669689255,1.8953418278658644e-09,0.4750321018247062,2.1130529577250103e-09,8.419350465909595,1.4723196200745477e-08,6.258283479434335,1.1136961493831028e-09,5589870000.0,none
359,25,1250,projection_yz,band_r,0.746251938969509,9.158927886433671e-10,2.3789594435818624,2.0669739642033355e-09,0.4888672048167778,1.1263097326823338e-09,6.520345863213243,6.0390982718763044e-09,6.585332650882392,5.915533414101899e-10,5589870000.0,none
359,25,1250,projection_yz,band_u,0.7351087075863525,1.528948841726847e-09,2.413060070669524,3.32658469340304e-09,0.42627948724773,1.7803029751034535e-09,7.519137015855815,1.1358984890053469e-08,6.299709266366284,9.510914957256215e-10,5589870000.0,none
359,25,1250,projection_zx,band_r,0.7814602276337629,9.55809814881863e-10,0.9341017752192794,2.455075592661962e-09,0.482002366383214,1.1141518032858227e-09,6.328954888363868,5.8167336929960884e-09,6.590105696182403,5.861760194820222e-10,5589870000.0,none
359,25,1250,projection_zx,band_u,0.7724371188912401,1.606181786685593e-09,0.981744576122374,3.9821942250859e-09,0.4277772407402428,1.782922313947496e-09,7.28675438733116,1.1014942042275573e-08,6.302679740979259,9.52064471483849e-10,5589870000.0,none
365,22,1100,projection_xy,band_r,0.7242025381317729,1.273128289536935e-09,0.39004607640745,2.677278944925424e-09,0.4106949675547073,1.4777562196108243e-09,6.480082858635381,8.198713235932348e-09,6.440641318010894,7.932669062829866e-10,5932090000.0,none
365,22,1100,projection_xy,band_u,0.7526047723917272,2.305038490746855e-09,0.4342731490103523,5.31621903137295e-09,0.3600000124870426,2.421733686614587e-09,7.520427173663124,1.6117010801886033e-08,6.125094586559389,1.3238568091044894e-09,5932090000.0,fit
365,22,1100,projection_yz,band_r,0.9191291997626786,1.536921158616561e-09,1.0721072271622794,9.902745909763894e-09,0.4276743188284192,1.4335883539599463e-09,6.058771130433881,7.364605879080744e-09,6.43973040089483,7.65546791650733e-10,5932090000.0,none
365,22,1100,projection_yz,band_u,0.9227614812268252,2.74464202231663e-09,1.0635456806085106,1.848103889528848e-08,0.3878008619835093,2.433218370650642e-09,7.105575992692239,1.501320104067323e-08,6.119320222677923,1.3161865007116383e-09,5932090000.0,none
365,22,1100,projection_zx,band_r,0.6872583615401883,1.2140252969703227e-09,2.0999812416920145,2.300702371663609e-09,0.3927734484757054,1.4537273209000043e-09,6.506080984360292,8.186877856561313e-09,6.447983535370891,7.84998923164153e-10,5932090000.0,none
365,22,1100,projection_zx,band_u,0.7188235480843851,2.235805839832781e-09,2.1363907185424296,4.626194054080582e-09,0.3600000105437107,2.4593860777615194e-09,7.568534547983545,1.647230115764603e-08,6.125597036594898,1.344439995098888e-09,5932090000.0,fit
367,35,1750,projection_xy,band_r,0.4479750630882035,2.707981646873492e-10,1.831284596373275,3.3878607101583993e-10,0.6302237288879365,6.392749548188157e-10,5.194308160544477,2.593034335873549e-09,7.090715745484565,3.2583288156551087e-10,1712950000.0,none
367,35,1750,projection_xy,band_u,0.4113694811190767,1.0600444564688796e-10,1.9831308289419485,1.2759286969780066e-10,1.5885473482204038,5.216114476871141e-10,2.311852043328934,8.407473284727042e-10,7.688560999969217,2.4320963462332843e-10,1712950000.0,none
367,35,1750,projection_yz,band_r,0.7163478648231604,4.193711387945834e-10,0.3281486179069457,8.614044550327572e-10,0.5700690440393915,5.842510970103334e-10,3.7847267020008712,1.7604705802125872e-09,7.146079544609057,3.0127034673984044e-10,1712950000.0,none
367,35,1750,projection_yz,band_u,0.6302877206070553,3.271981859872698e-10,0.0942921749063601,5.427222541525178e-10,2.9256517923278245,1.77194589011833e-09,7.597934949326921,9.202594020570692e-09,6.561065942619485,7.993316698103594e-10,1712950000.0,none
367,35,1750,projection_zx,band_r,0.6704973634365473,4.116291975195175e-10,2.771849989083797,7.478275901365e-10,0.4766754528208833,5.560001734144471e-10,4.659566621069123,2.1423934955699875e-09,7.055956097831648,2.9291942175521616e-10,1712950000.0,none
367,35,1750,projection_zx,band_u,0.3629342196876399,9.101711170969728e-11,0.5936097531614086,1.0482456799408948e-10,0.571507480952214,2.512839694875352e-10,0.9064831123783912,1.8069190856116224e-10,8.283107650556632,1.2930764904958663e-10,1712950000.0,none
370,26,1300,projection_xy,band_r,0.4200520084782315,2.2627730781288775e-10,1.4580239102986918,2.7475632815596195e-10,0.360165743683821,4.260320582905175e-10,6.033116474724904,2.274301199500239e-09,7.10221010763765,2.328774589804651e-10,822870000.0,fit
370,26,1300,projection_xy,band_u,0.4428565809859352,8.169059673576008e-11,1.4879500417303528,1.0162063371225384e-10,0.3641391763445871,1.4660673148558018e-10,6.457565712085869,8.353234378855245e-10,7.526849540667047,8.000910783657459e-11,822870000.0,fit
370,26,1300,projection_yz,band_r,0.2251429507305856,1.2221730244219842e-10,0.302785611378545,1.2874295332195323e-10,0.5445389525072367,5.280721236346947e-10,7.259406959419209,3.0803997317724632e-09,7.149488370111312,2.737643777012484e-10,822870000.0,none
370,26,1300,projection_yz,band_u,0.1647504846504018,2.7201281767269808e-11,0.3154061209051239,2.796019749806829e-11,0.3618882682134878,1.3085679087445527e-10,8.466295096142078,9.790773946609395e-10,7.6719686959646785,7.147858850333313e-11,822870000.0,fit
370,26,1300,projection_zx,band_r,0.8483469866751916,7.337695055799856e-10,0.8601707288269591,2.6177315806884246e-09,0.4623333814280994,7.71102424860168e-10,6.598541990731787,4.236743239816271e-09,6.705486086578459,4.077708233154622e-10,822870000.0,none
370,26,1300,projection_zx,band_u,0.7942945332273564,2.8016096287125555e-10,2.50708784591384,7.590759961539854e-10,0.8382741092824244,4.460502092243561e-10,6.907572949572864,2.2956385830931274e-09,7.050374915933246,2.2040115784798958e-10,822870000.0,none
372,15,750,projection_xy,band_r,0.6985024553580291,1.2509675595098719e-09,2.2076650467626804,2.442846012295281e-09,0.3861594272065729,1.4621900448944943e-09,4.500993040091317,5.720921906222261e-09,6.598347932869092,7.913926463601167e-10,2975820000.0,none
372,15,750,projection_xy,band_u,0.4889305321504049,2.2889964724187068e-09,2.2412252084284896,3.031975729257609e-09,4.051401006846261,2.8715782643941522e-08,37.15365537430044,8.210767308326373e-07,4.826636222261094,1.3765181700492076e-08,2975820000.0,none
