pixel,sim,view,lum_g,mag_r,lum_r,mag_u,FOV,lum_u,mag_g
550,12140,projection_xy,4862707.3024,-11.928811460969532,4360382.464000001,-10.253027034949557,13,6327189.094400001,-11.38719532291376
550,12140,projection_yz,4862679.4496,-11.928824719652438,4360435.712,-10.25296504026737,13,6326827.8272,-11.387189103974782
550,12140,projection_zx,4861444.5056,-11.928549211747223,4359329.3824000005,-10.252605091906272,13,6324730.6752,-11.386913331385903
550,29309,projection_xy,9534555.750400001,-12.76261784831644,9398253.158400001,-10.763670358342203,11,10126704.64,-12.118251156238342
550,29309,projection_yz,9353920.512,-12.746887989449862,9263075.328,-10.742955886848797,11,9935331.328,-12.097484187571778
550,29309,projection_zx,9438429.184,-12.756354728888395,9344194.969600001,-10.740854643186925,11,9916121.907200001,-12.10724930420758
550,2862,projection_xy,9964794.6752,-12.727652991153787,9100414.976,-10.980828279583822,12,12368906.649600001,-12.166170886204833
550,2862,projection_yz,9962754.048,-12.727487023312134,9099023.9744,-10.980608431664702,12,12366402.3552,-12.16594852239381
550,2862,projection_zx,9964720.128,-12.727625624823025,9100185.6,-10.980785780562176,12,12368422.502400002,-12.166162763719685
550,1528,projection_xy,10330304.512,-12.736560145413536,9175379.968,-11.058160905892642,15,13282027.1104,-12.205282809106913
550,1528,projection_yz,10343612.416000001,-12.737619829624434,9184339.5584,-11.059810481034823,15,13302222.028800001,-12.206680596979256
550,1528,projection_zx,10314045.0304,-12.735666307960697,9167829.4016,-11.055535238008801,15,13249945.600000001,-12.2035725579355
550,6107,projection_xy,210588336.12800002,-16.256852966874852,234823299.8912,-13.797917427506604,25,165640667.136,-15.478585783036207
550,6107,projection_yz,210702080.40960002,-16.257250448814162,234909283.1232,-13.798702146107122,25,165760427.62240002,-15.479172059309155
550,6107,projection_zx,210573144.88320002,-16.256795029002937,234810769.40800002,-13.79783494630021,25,165628084.224,-15.47850745828323
550,2283,projection_xy,45549735.1168,-14.449132489931793,44427614.6176,-12.500355756224739,18,50135148.1344,-13.816214639460982
550,2283,projection_yz,45550505.1648,-14.449128325790705,44427444.224,-12.500297848874503,18,50132474.2656,-13.816232994384977
