pixel,sim,view,lum_g,mag_r,lum_r,mag_u,FOV,lum_u,mag_g
550,1279,projection_xy,2869334.2208000002,-11.2345322843807,2300450.6112,-9.709828376089302,10,3836465.9712,-10.814452844817923
550,1279,projection_yz,2877709.312,-11.236305394506964,2304210.5344000002,-9.714256694920948,10,3852145.4592000004,-10.817617305333696
550,1279,projection_zx,2860800.2048,-11.232482828132119,2296112.3328,-9.705309987755001,10,3820533.3504000003,-10.811218820515636
550,1615,projection_xy,5778981.2736,-11.990086844958332,4613544.7552000005,-10.455907253567911,9,7627160.780800001,-11.574628217916535
550,1615,projection_yz,5779088.5888,-11.990107280271792,4613631.5904,-10.456066770047265,9,7628281.446400001,-11.574648379760054
550,1615,projection_zx,5779988.8896,-11.990092724970014,4613569.7408,-10.456195602141616,9,7629186.662400001,-11.574817509031403
550,653,projection_xy,183348297.72800002,-15.742301868650808,146191037.23520002,-14.152473477084506,18,229609255.7312,-15.3281922054202
550,653,projection_yz,164174168.064,-15.653184693708114,134670935.65440002,-14.000630005830896,18,199642041.54880002,-15.208262060554562
550,653,projection_zx,181324637.7984,-15.732834703069047,144921853.952,-14.13751527650658,18,226467617.1776,-15.31614204654481
550,1144,projection_xy,4717191.1680000005,-11.87936963699943,4166274.2528000004,-10.22744336553344,14,6179841.6384000005,-11.354208691846607
550,1144,projection_yz,4716925.7472,-11.879389063917822,4166348.8000000003,-10.227404361096838,14,6179619.6352,-11.354147599330007
550,1144,projection_zx,4717131.776000001,-11.87934487251158,4166179.2256,-10.227443293570825,14,6179841.228800001,-11.354195021751773
550,1369,projection_xy,3421568.6144000003,-11.443633000497035,2789030.0928,-9.883126832740764,9,4500396.032000001,-11.005563133851803
550,1369,projection_yz,3436076.2368,-11.446264043461996,2795796.8896000003,-9.889731325890615,9,4527855.2064000005,-11.010156977576605
550,1369,projection_zx,3398087.4752,-11.439384460937278,2778137.8048,-9.872673968634292,9,4457276.620800001,-10.998086386235217
550,260,projection_xy,723612545.8432001,-17.479392794734324,724030927.6672001,-15.531863647664018,16,817985224.704,-16.8187652199002
550,260,projection_yz,735894201.9584,-17.49052148817335,731490340.0448,-15.518016674550573,16,807619264.5120001,-16.8370384529348
550,260,projection_zx,436654283.1616,-16.99588908994364,463826583.55200005,-14.879894827771547,16,448701923.328,-16.270344311323967
550,46,projection_xy,1869902931.5584002,-18.75724303371493,2349076788.0192003,-16.116574825044353,19,1401618851.4304001,-17.849547656203917
550,46,projection_yz,2220418819.6864,-18.95155322446044,2809449886.5152,-16.294819672398337,19,1651687450.2144,-18.036087249103304
550,46,projection_zx,1932923397.7344,-18.792323334485566,2426215281.4592,-16.158739845152862,19,1457122076.2624002,-17.885536607910943
550,835,projection_xy,148583612.416,-15.392608739532838,105935981.7728,-14.34985317599515,18,275385627.4432,-15.099927282145432
550,835,projection_yz,132348326.7072,-15.317087040727417,98817717.0432,-14.13266801842909,18,225458808.4224,-14.974296137111486
550,835,projection_zx,147509936.12800002,-15.385860964976073,105279638.7328,-14.354473132518052,18,276559927.7056,-15.092053187399427
550,112,projection_xy,647014436.0448,-17.53194472573214,759937525.3504001,-15.123343422593535,17,561483979.1616,-16.697284926651093
550,112,projection_yz,1408447073.4848,-18.33761024469051,1596041199.6160002,-16.033145802498886,17,1297951070.6176,-17.541851329359915
550,112,projection_zx,1468043205.0176,-18.37272920843599,1648510369.792,-16.076298966197438,17,1350577736.9088001,-17.58684709301113
550,1084,projection_xy,16483057.664,-12.887970535681967,10548439.4496,-12.146179984419874,9,36180285.8496,-12.71259444489358
550,1084,projection_yz,17367890.329600003,-12.920271478195515,10866973.081600001,-12.260166592096624,9,40185246.515200004,-12.769367670202746
550,1084,projection_zx,16846366.3104,-12.89934133711258,10659492.6592,-12.203952870929843,9,38157608.550400004,-12.736265599587563
550,583,projection_xy,200792526.0288,-15.836254192684317,159404903.6288,-14.348226008342266,20,274973222.50240004,-15.426868858273346
550,583,projection_yz,207713363.5584,-15.860697198750758,163034261.09440002,-14.400894623798532,20,288640886.3744,-15.463661096091863
550,583,projection_zx,180086453.04320002,-15.765847780907128,149396049.1008,-14.118782198368748,20,222593705.5744,-15.30870261089577
550,726,projection_xy,149929079.60320002,-15.723511591625785,143682751.69280002,-13.81638744788307,16,168482570.24,-15.10971468729719
550,726,projection_yz,133572460.544,-15.637591551477412,132750639.104,-13.60258230669022,16,138367126.7328,-14.984292315508844
550,726,projection_zx,129411121.15200001,-15.601609649334845,128423310.1312,-13.597883149917408,16,137769556.3776,-14.949928999321068
550,1505,projection_xy,11697282.2528,-12.713311566113932,8980998.5536,-11.286496428258765,11,16390740.377600001,-12.340212423656572
550,1505,projection_yz,11656456.6016,-12.710893803435079,8961021.5424,-11.280577323659926,11,16301626.1632,-12.336416377719738
550,1505,projection_zx,11711338.9056,-12.713689319726692,8984123.8016,-11.288737624409762,11,16424609.3824,-12.341516372197054
550,513,projection_xy,554496530.8416001,-16.91186268264896,429284366.74560004,-15.533546984311258,21,819254421.0944,-16.52974708342186
550,513,projection_yz,398158751.3344,-16.654610119756498,338722501.4272,-15.033301445257113,21,516797707.05920005,-16.170140664368105
550,513,projection_zx,488795275.264,-16.820697661483713,394710849.94560003,-15.31997927197003,21,672963808.4608,-16.392817498320028
550,1323,projection_xy,11971542.220800001,-12.513375997381688,7470512.5376,-11.650942073075448,8,22928562.5856,-12.365375253802108
